# Theta(Rad)    Chord(m)     Gamma/V(m)
0.03110488 1.00000000 0.04971163
0.06220976 1.00000000 0.09831709
0.09331463 1.00000000 0.14520329
0.12441951 1.00000000 0.18999977
0.15552439 1.00000000 0.23247822
0.18662927 1.00000000 0.27251454
0.21773414 1.00000000 0.31005974
0.24883902 1.00000000 0.34512140
0.27994390 1.00000000 0.37774825
0.31104878 1.00000000 0.40801914
0.34215366 1.00000000 0.43603368
0.37325853 1.00000000 0.46190536
0.40436341 1.00000000 0.48575585
0.43546829 1.00000000 0.50771080
0.46657317 1.00000000 0.52789643
0.49767804 1.00000000 0.54643711
0.52878292 1.00000000 0.56345350
0.55988780 1.00000000 0.57906128
0.59099268 1.00000000 0.59337028
0.62209756 1.00000000 0.60648394
0.65320243 1.00000000 0.61849903
0.68430731 1.00000000 0.62950559
0.71541219 1.00000000 0.63958701
0.74651707 1.00000000 0.64882019
0.77762194 1.00000000 0.65727580
0.80872682 1.00000000 0.66501860
0.83983170 1.00000000 0.67210778
0.87093658 1.00000000 0.67859731
0.90204145 1.00000000 0.68453632
0.93314633 1.00000000 0.68996940
0.96425121 1.00000000 0.69493701
0.99535609 1.00000000 0.69947577
1.02646097 1.00000000 0.70361879
1.05756584 1.00000000 0.70739593
1.08867072 1.00000000 0.71083412
1.11977560 1.00000000 0.71395756
1.15088048 1.00000000 0.71678796
1.18198535 1.00000000 0.71934476
1.21309023 1.00000000 0.72164531
1.24419511 1.00000000 0.72370505
1.27529999 1.00000000 0.72553763
1.30640487 1.00000000 0.72715507
1.33750974 1.00000000 0.72856788
1.36861462 1.00000000 0.72978514
1.39971950 1.00000000 0.73081464
1.43082438 1.00000000 0.73166287
1.46192925 1.00000000 0.73233520
1.49303413 1.00000000 0.73283581
1.52413901 1.00000000 0.73316783
1.55524389 1.00000000 0.73333333
1.58634877 1.00000000 0.73333333
1.61745364 1.00000000 0.73316783
1.64855852 1.00000000 0.73283581
1.67966340 1.00000000 0.73233520
1.71076828 1.00000000 0.73166287
1.74187315 1.00000000 0.73081464
1.77297803 1.00000000 0.72978514
1.80408291 1.00000000 0.72856788
1.83518779 1.00000000 0.72715507
1.86629267 1.00000000 0.72553763
1.89739754 1.00000000 0.72370505
1.92850242 1.00000000 0.72164531
1.95960730 1.00000000 0.71934476
1.99071218 1.00000000 0.71678796
2.02181705 1.00000000 0.71395756
2.05292193 1.00000000 0.71083412
2.08402681 1.00000000 0.70739593
2.11513169 1.00000000 0.70361879
2.14623657 1.00000000 0.69947577
2.17734144 1.00000000 0.69493701
2.20844632 1.00000000 0.68996940
2.23955120 1.00000000 0.68453632
2.27065608 1.00000000 0.67859731
2.30176095 1.00000000 0.67210778
2.33286583 1.00000000 0.66501860
2.36397071 1.00000000 0.65727580
2.39507559 1.00000000 0.64882019
2.42618047 1.00000000 0.63958701
2.45728534 1.00000000 0.62950559
2.48839022 1.00000000 0.61849903
2.51949510 1.00000000 0.60648394
2.55059998 1.00000000 0.59337028
2.58170485 1.00000000 0.57906128
2.61280973 1.00000000 0.56345350
2.64391461 1.00000000 0.54643711
2.67501949 1.00000000 0.52789643
2.70612436 1.00000000 0.50771080
2.73722924 1.00000000 0.48575585
2.76833412 1.00000000 0.46190536
2.79943900 1.00000000 0.43603368
2.83054388 1.00000000 0.40801914
2.86164875 1.00000000 0.37774825
2.89275363 1.00000000 0.34512140
2.92385851 1.00000000 0.31005974
2.95496339 1.00000000 0.27251454
2.98606826 1.00000000 0.23247822
3.01717314 1.00000000 0.18999977
3.04827802 1.00000000 0.14520329
3.07938290 1.00000000 0.09831709
3.11048778 1.00000000 0.04971163
