# Rectangular.Int.out
#NPoints  Span(m)       AR
100        10.000   10.000
#
#
# Alpha(Deg)         CL              CDi      Delta
0.000            0.1762     0.0010727240     0.0859
1.000            0.2642     0.0024136290     0.0859
2.000            0.3523     0.0042908959     0.0859
3.000            0.4404     0.0067045249     0.0859
4.000            0.5285     0.0096545159     0.0859
5.000            0.6166     0.0131408688     0.0859
6.000            0.7047     0.0171635838     0.0859
7.000            0.7927     0.0217226607     0.0859
8.000            0.8808     0.0268180997     0.0859
9.000            0.9689     0.0324499006     0.0859
10.000           1.0570     0.0386180635     0.0859
