# Theta(Rad)    Chord(m)     Cl     ClMax
0.03110488 1.00000000 0.05309115 1.46666667
0.06220976 1.00000000 0.10500093 1.46666667
0.09331463 1.00000000 0.15507456 1.46666667
0.12441951 1.00000000 0.20291642 1.46666667
0.15552439 1.00000000 0.24828265 1.46666667
0.18662927 1.00000000 0.29104074 1.46666667
0.21773414 1.00000000 0.33113836 1.46666667
0.24883902 1.00000000 0.36858359 1.46666667
0.27994390 1.00000000 0.40342850 1.46666667
0.31104878 1.00000000 0.43575728 1.46666667
0.34215366 1.00000000 0.46567631 1.46666667
0.37325853 1.00000000 0.49330681 1.46666667
0.40436341 1.00000000 0.51877872 1.46666667
0.43546829 1.00000000 0.54222622 1.46666667
0.46657317 1.00000000 0.56378412 1.46666667
0.49767804 1.00000000 0.58358524 1.46666667
0.52878292 1.00000000 0.60175844 1.46666667
0.55988780 1.00000000 0.61842728 1.46666667
0.59099268 1.00000000 0.63370904 1.46666667
0.62209756 1.00000000 0.64771419 1.46666667
0.65320243 1.00000000 0.66054610 1.46666667
0.68430731 1.00000000 0.67230092 1.46666667
0.71541219 1.00000000 0.68306770 1.46666667
0.74651707 1.00000000 0.69292857 1.46666667
0.77762194 1.00000000 0.70195901 1.46666667
0.80872682 1.00000000 0.71022818 1.46666667
0.83983170 1.00000000 0.71779930 1.46666667
0.87093658 1.00000000 0.72473001 1.46666667
0.90204145 1.00000000 0.73107276 1.46666667
0.93314633 1.00000000 0.73687520 1.46666667
0.96425121 1.00000000 0.74218052 1.46666667
0.99535609 1.00000000 0.74702784 1.46666667
1.02646097 1.00000000 0.75145251 1.46666667
1.05756584 1.00000000 0.75548643 1.46666667
1.08867072 1.00000000 0.75915836 1.46666667
1.11977560 1.00000000 0.76249413 1.46666667
1.15088048 1.00000000 0.76551695 1.46666667
1.18198535 1.00000000 0.76824757 1.46666667
1.21309023 1.00000000 0.77070452 1.46666667
1.24419511 1.00000000 0.77290428 1.46666667
1.27529999 1.00000000 0.77486144 1.46666667
1.30640487 1.00000000 0.77658884 1.46666667
1.33750974 1.00000000 0.77809769 1.46666667
1.36861462 1.00000000 0.77939771 1.46666667
1.39971950 1.00000000 0.78049720 1.46666667
1.43082438 1.00000000 0.78140310 1.46666667
1.46192925 1.00000000 0.78212113 1.46666667
1.49303413 1.00000000 0.78265577 1.46666667
1.52413901 1.00000000 0.78301037 1.46666667
1.55524389 1.00000000 0.78318712 1.46666667
1.58634877 1.00000000 0.78318712 1.46666667
1.61745364 1.00000000 0.78301037 1.46666667
1.64855852 1.00000000 0.78265577 1.46666667
1.67966340 1.00000000 0.78212113 1.46666667
1.71076828 1.00000000 0.78140310 1.46666667
1.74187315 1.00000000 0.78049720 1.46666667
1.77297803 1.00000000 0.77939771 1.46666667
1.80408291 1.00000000 0.77809769 1.46666667
1.83518779 1.00000000 0.77658884 1.46666667
1.86629267 1.00000000 0.77486144 1.46666667
1.89739754 1.00000000 0.77290428 1.46666667
1.92850242 1.00000000 0.77070452 1.46666667
1.95960730 1.00000000 0.76824757 1.46666667
1.99071218 1.00000000 0.76551695 1.46666667
2.02181705 1.00000000 0.76249413 1.46666667
2.05292193 1.00000000 0.75915836 1.46666667
2.08402681 1.00000000 0.75548643 1.46666667
2.11513169 1.00000000 0.75145251 1.46666667
2.14623657 1.00000000 0.74702784 1.46666667
2.17734144 1.00000000 0.74218052 1.46666667
2.20844632 1.00000000 0.73687520 1.46666667
2.23955120 1.00000000 0.73107276 1.46666667
2.27065608 1.00000000 0.72473001 1.46666667
2.30176095 1.00000000 0.71779930 1.46666667
2.33286583 1.00000000 0.71022818 1.46666667
2.36397071 1.00000000 0.70195901 1.46666667
2.39507559 1.00000000 0.69292857 1.46666667
2.42618047 1.00000000 0.68306770 1.46666667
2.45728534 1.00000000 0.67230092 1.46666667
2.48839022 1.00000000 0.66054610 1.46666667
2.51949510 1.00000000 0.64771419 1.46666667
2.55059998 1.00000000 0.63370904 1.46666667
2.58170485 1.00000000 0.61842728 1.46666667
2.61280973 1.00000000 0.60175844 1.46666667
2.64391461 1.00000000 0.58358524 1.46666667
2.67501949 1.00000000 0.56378412 1.46666667
2.70612436 1.00000000 0.54222622 1.46666667
2.73722924 1.00000000 0.51877872 1.46666667
2.76833412 1.00000000 0.49330681 1.46666667
2.79943900 1.00000000 0.46567631 1.46666667
2.83054388 1.00000000 0.43575728 1.46666667
2.86164875 1.00000000 0.40342850 1.46666667
2.89275363 1.00000000 0.36858359 1.46666667
2.92385851 1.00000000 0.33113836 1.46666667
2.95496339 1.00000000 0.29104074 1.46666667
2.98606826 1.00000000 0.24828265 1.46666667
3.01717314 1.00000000 0.20291642 1.46666667
3.04827802 1.00000000 0.15507456 1.46666667
3.07938290 1.00000000 0.10500093 1.46666667
3.11048778 1.00000000 0.05309115 1.46666667
