# Theta(Rad)    Chord(m)     Gamma/V(m)
0.03110488 1.00000000 0.03650016
0.06220976 1.00000000 0.07218814
0.09331463 1.00000000 0.10661376
0.12441951 1.00000000 0.13950504
0.15552439 1.00000000 0.17069432
0.18662927 1.00000000 0.20009051
0.21773414 1.00000000 0.22765762
0.24883902 1.00000000 0.25340122
0.27994390 1.00000000 0.27735709
0.31104878 1.00000000 0.29958313
0.34215366 1.00000000 0.32015246
0.37325853 1.00000000 0.33914843
0.40436341 1.00000000 0.35666037
0.43546829 1.00000000 0.37278053
0.46657317 1.00000000 0.38760158
0.49767804 1.00000000 0.40121485
0.52878292 1.00000000 0.41370893
0.55988780 1.00000000 0.42516875
0.59099268 1.00000000 0.43567496
0.62209756 1.00000000 0.44530351
0.65320243 1.00000000 0.45412544
0.68430731 1.00000000 0.46220688
0.71541219 1.00000000 0.46960904
0.74651707 1.00000000 0.47638839
0.77762194 1.00000000 0.48259682
0.80872682 1.00000000 0.48828188
0.83983170 1.00000000 0.49348702
0.87093658 1.00000000 0.49825188
0.90204145 1.00000000 0.50261252
0.93314633 1.00000000 0.50660170
0.96425121 1.00000000 0.51024910
0.99535609 1.00000000 0.51358164
1.02646097 1.00000000 0.51662360
1.05756584 1.00000000 0.51939692
1.08867072 1.00000000 0.52192137
1.11977560 1.00000000 0.52421472
1.15088048 1.00000000 0.52629290
1.18198535 1.00000000 0.52817020
1.21309023 1.00000000 0.52985936
1.24419511 1.00000000 0.53137169
1.27529999 1.00000000 0.53271724
1.30640487 1.00000000 0.53390483
1.33750974 1.00000000 0.53494216
1.36861462 1.00000000 0.53583593
1.39971950 1.00000000 0.53659182
1.43082438 1.00000000 0.53721463
1.46192925 1.00000000 0.53770827
1.49303413 1.00000000 0.53807584
1.52413901 1.00000000 0.53831963
1.55524389 1.00000000 0.53844114
1.58634877 1.00000000 0.53844114
1.61745364 1.00000000 0.53831963
1.64855852 1.00000000 0.53807584
1.67966340 1.00000000 0.53770827
1.71076828 1.00000000 0.53721463
1.74187315 1.00000000 0.53659182
1.77297803 1.00000000 0.53583593
1.80408291 1.00000000 0.53494216
1.83518779 1.00000000 0.53390483
1.86629267 1.00000000 0.53271724
1.89739754 1.00000000 0.53137169
1.92850242 1.00000000 0.52985936
1.95960730 1.00000000 0.52817020
1.99071218 1.00000000 0.52629290
2.02181705 1.00000000 0.52421472
2.05292193 1.00000000 0.52192137
2.08402681 1.00000000 0.51939692
2.11513169 1.00000000 0.51662360
2.14623657 1.00000000 0.51358164
2.17734144 1.00000000 0.51024910
2.20844632 1.00000000 0.50660170
2.23955120 1.00000000 0.50261252
2.27065608 1.00000000 0.49825188
2.30176095 1.00000000 0.49348702
2.33286583 1.00000000 0.48828188
2.36397071 1.00000000 0.48259682
2.39507559 1.00000000 0.47638839
2.42618047 1.00000000 0.46960904
2.45728534 1.00000000 0.46220688
2.48839022 1.00000000 0.45412544
2.51949510 1.00000000 0.44530351
2.55059998 1.00000000 0.43567496
2.58170485 1.00000000 0.42516875
2.61280973 1.00000000 0.41370893
2.64391461 1.00000000 0.40121485
2.67501949 1.00000000 0.38760158
2.70612436 1.00000000 0.37278053
2.73722924 1.00000000 0.35666037
2.76833412 1.00000000 0.33914843
2.79943900 1.00000000 0.32015246
2.83054388 1.00000000 0.29958313
2.86164875 1.00000000 0.27735709
2.89275363 1.00000000 0.25340122
2.92385851 1.00000000 0.22765762
2.95496339 1.00000000 0.20009051
2.98606826 1.00000000 0.17069432
3.01717314 1.00000000 0.13950504
3.04827802 1.00000000 0.10661376
3.07938290 1.00000000 0.07218814
3.11048778 1.00000000 0.03650016
