# Taper.Int.out
#NPoints  Span(m)       AR
100        10.000   10.000
#
#
# Alpha(Deg)         CL              CDi      Delta
0.000            0.1813     0.0010651319     0.0181
1.000            0.2719     0.0023965468     0.0181
2.000            0.3626     0.0042605277     0.0181
3.000            0.4532     0.0066570745     0.0181
4.000            0.5439     0.0095861873     0.0181
5.000            0.6345     0.0130478661     0.0181
6.000            0.7252     0.0170421108     0.0181
7.000            0.8158     0.0215689215     0.0181
8.000            0.9065     0.0266282981     0.0181
9.000            0.9971     0.0322202407     0.0181
10.000           1.0877     0.0383447493     0.0181
