# Theta(Rad)    Chord(m)     Gamma/V(m)
0.03110488 0.46205945 0.02884552
0.06220976 0.46362178 0.05657212
0.09331463 0.46622398 0.08269193
0.12441951 0.46986355 0.10702175
0.15552439 0.47453695 0.12954220
0.18662927 0.48023967 0.15033839
0.21773414 0.48696619 0.16955505
0.24883902 0.49470999 0.18736877
0.27994390 0.50346360 0.20396741
0.31104878 0.51321854 0.21953733
0.34215366 0.52396537 0.23425475
0.37325853 0.53569369 0.24828114
0.40436341 0.54839217 0.26176067
0.43546829 0.56204852 0.27481965
0.46657317 0.57664951 0.28756676
0.49767804 0.59218104 0.30009420
0.52878292 0.60862807 0.31247895
0.55988780 0.62597468 0.32478435
0.59099268 0.64420411 0.33706160
0.62209756 0.66329871 0.34935115
0.65320243 0.68324002 0.36168413
0.68430731 0.70400873 0.37408343
0.71541219 0.72558476 0.38656482
0.74651707 0.74794723 0.39913780
0.77762194 0.77107451 0.41180642
0.80872682 0.79494422 0.42456985
0.83983170 0.81953328 0.43742299
0.87093658 0.84481789 0.45035685
0.90204145 0.87077359 0.46335894
0.93314633 0.89737527 0.47641349
0.96425121 0.92459720 0.48950171
0.99535609 0.95241305 0.50260182
1.02646097 0.98079589 0.51568922
1.05756584 1.00971828 0.52873636
1.08867072 1.03915223 0.54171279
1.11977560 1.06906926 0.55458483
1.15088048 1.09944044 0.56731552
1.18198535 1.13023638 0.57986400
1.21309023 1.16142729 0.59218531
1.24419511 1.19298300 0.60422931
1.27529999 1.22487297 0.61594022
1.30640487 1.25706635 0.62725458
1.33750974 1.28953200 0.63810041
1.36861462 1.32223851 0.64839311
1.39971950 1.35515424 0.65803341
1.43082438 1.38824735 0.66689807
1.46192925 1.42148582 0.67483390
1.49303413 1.45483749 0.68162909
1.52413901 1.48827010 0.68698824
1.55524389 1.52175130 0.69034151
1.58634877 1.52175130 0.69034151
1.61745364 1.48827010 0.68698824
1.64855852 1.45483749 0.68162909
1.67966340 1.42148582 0.67483390
1.71076828 1.38824735 0.66689807
1.74187315 1.35515424 0.65803341
1.77297803 1.32223851 0.64839311
1.80408291 1.28953200 0.63810041
1.83518779 1.25706635 0.62725458
1.86629267 1.22487297 0.61594022
1.89739754 1.19298300 0.60422931
1.92850242 1.16142729 0.59218531
1.95960730 1.13023638 0.57986400
1.99071218 1.09944044 0.56731552
2.02181705 1.06906926 0.55458483
2.05292193 1.03915223 0.54171279
2.08402681 1.00971828 0.52873636
2.11513169 0.98079589 0.51568922
2.14623657 0.95241305 0.50260182
2.17734144 0.92459720 0.48950171
2.20844632 0.89737527 0.47641349
2.23955120 0.87077359 0.46335894
2.27065608 0.84481789 0.45035685
2.30176095 0.81953328 0.43742299
2.33286583 0.79494422 0.42456985
2.36397071 0.77107451 0.41180642
2.39507559 0.74794723 0.39913780
2.42618047 0.72558476 0.38656482
2.45728534 0.70400873 0.37408343
2.48839022 0.68324002 0.36168413
2.51949510 0.66329871 0.34935115
2.55059998 0.64420411 0.33706160
2.58170485 0.62597468 0.32478435
2.61280973 0.60862807 0.31247895
2.64391461 0.59218104 0.30009420
2.67501949 0.57664951 0.28756676
2.70612436 0.56204852 0.27481965
2.73722924 0.54839217 0.26176067
2.76833412 0.53569369 0.24828114
2.79943900 0.52396537 0.23425475
2.83054388 0.51321854 0.21953733
2.86164875 0.50346360 0.20396741
2.89275363 0.49470999 0.18736877
2.92385851 0.48696619 0.16955505
2.95496339 0.48023967 0.15033839
2.98606826 0.47453695 0.12954220
3.01717314 0.46986355 0.10702175
3.04827802 0.46622398 0.08269193
3.07938290 0.46362178 0.05657212
3.11048778 0.46205945 0.02884552
