# Taper.Int.out
#
#
# Alpha(Deg)         CL              CDi
0.000            0.1751    -0.0009765447
1.000            0.2626    -0.0021961102
2.000            0.3500    -0.0039014212
3.000            0.4373    -0.0060904000
4.000            0.5245    -0.0087603797
5.000            0.6115    -0.0119081074
6.000            0.6983    -0.0155297479
7.000            0.7849    -0.0196208890
8.000            0.8713    -0.0241765462
9.000            0.9574    -0.0291911691
10.000           1.0432    -0.0346586481
